빌드 결과,
성공 여부, 결과물 크기(byte), 빌드 시간, TotalWarnings, TotalErrors,
Succeeded, 177989134, 00:00:12.0970711, 0, 0,
,
Summary,
빌드 끝난 시각, 빌드 시작 시각, 빌드의 Application.buildGUID, Options, OutputPath, Platform, PlatformGroup,
2019-03-12-12:54:39, 2019-03-12-12:54:27, 414187578c9cc4347addf4181bacf76d, Development, ConnectWithProfiler, /Users/Shared/Jenkins/MacJenkinsTest/Build/output/AndroidBuild_0.1.apk, Android, Android,
,
Files,
경로, 역할, 크기,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/Assembly-CSharp.dll, ManagedLibrary, 4096,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/Assembly-CSharp.dll.mdb, DebugInfo, 691,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/Unity.TextMeshPro.dll, ManagedLibrary, 332288,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/Unity.TextMeshPro.dll.mdb, DebugInfo, 129167,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/UnityEngine.UI.dll, ManagedLibrary, 251392,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/UnityEngine.UI.dll.mdb, DebugInfo, 121645,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/UnityEngine.Timeline.dll, ManagedLibrary, 94720,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/UnityEngine.Timeline.dll.mdb, DebugInfo, 46486,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/UnityEngine.Networking.dll, ManagedLibrary, 256000,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/UnityEngine.Networking.dll.mdb, DebugInfo, 114573,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/UnityEngine.SpatialTracking.dll, ManagedLibrary, 10752,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/UnityEngine.SpatialTracking.dll.mdb, DebugInfo, 3149,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/Mono.Security.dll, DependentManagedLibrary, 293376,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/Mono.Security.dll.mdb, DebugInfo, 153208,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/System.Core.dll, DependentManagedLibrary, 265728,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/System.Core.dll.mdb, DebugInfo, 124443,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/System.dll, DependentManagedLibrary, 1069568,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/System.dll.mdb, DebugInfo, 505195,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/mscorlib.dll, DependentManagedLibrary, 2497024,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Managed/mscorlib.dll.mdb, DebugInfo, 1166470,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/globalgamemanagers, GlobalGameManagers, 32568,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/level0, Scene, 72548,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/128e987d567d4e2c824d754223b3f3b0, SharedAssets, 13736,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/1e3b057af24249748ff873be7fafee47, SharedAssets, 16400,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/3997e2241185407d80309a82f9148466, SharedAssets, 4120,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/3f5b5dff67a942289a9defa416b206f3, SharedAssets, 4344,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/407bc68d299748449bbf7f48ee690f8d, SharedAssets, 4112,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/48bb5f55d8670e349b6e614913f9d910, SharedAssets, 13692,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/68e6db2ebdc24f95958faec2be5558d6, SharedAssets, 19912,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/79459efec17a4d00a321bdcc27bbc385, SharedAssets, 5648,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/85187c2149c549c5b33f0cdb02836b17, SharedAssets, 23632,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/a02a7d8c237544f1962732b55a9aebf1, SharedAssets, 16676,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/bc1ede39bf3643ee8e493720e4259791, SharedAssets, 17900,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/c41005c129ba4d66911b75229fd70b45, SharedAssets, 5776,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/cf81c85f95fe47e1a27f6ae460cf182c, SharedAssets, 12312,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/d82c1b31c7e74239bff1220585707d2b, SharedAssets, 4240,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/d930090c0cd643c7b55f19a38538c162, SharedAssets, 4120,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/dd89cf5b9246416f84610a006f916af7, SharedAssets, 19904,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/dffef66376be4fa480fb02b19edbe903, SharedAssets, 353752,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/e73a58f6e2794ae7b1b7e50b7fb811b0, SharedAssets, 5716,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/f7ada0af4f174f0694ca6a487b8f543d, SharedAssets, 44596,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/f952c082cb03451daed3ee968ac6c63e, SharedAssets, 6276,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/fade42e8bc714b018fac513c043d323b, SharedAssets, 4408,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/globalgamemanagers.assets, SharedAssets, 29828,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/sharedassets0.assets, SharedAssets, 1105588,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/Resources/unity_builtin_extra, BuiltInShaders, 484932,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/StagingArea/Data/boot.config, BootConfig, 255,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/gradleOut/gradle.properties, Gradle project gradle.properties, 28,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/gradleOut/local.properties, Gradle project local.properties, 50,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/gradleOut/proguard-unity.txt, Unity Proguard config, 124,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/gradleOut/src/main/res/mipmap-mdpi/app_icon.png, Android resources, 3384,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/gradleOut/src/main/res/mipmap-mdpi/ic_launcher_foreground.png, Android resources, 1822,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/gradleOut/src/main/res/mipmap-mdpi/ic_launcher_background.png, Android resources, 318,
/Users/Shared/Jenkins/MacJenkinsTest/Temp/gradleOut/src/main/res/values-v21/styles.xml, Android resources, 169,
